Part,ElementID,vonMises_Pa,Sxx_Pa,Syy_Pa,Szz_Pa,Sxy_Pa,Syz_Pa,Szx_Pa
PART_000_R31G119B180A255,15504,-297.8002,493155.4,37239.35,605023.0,-162948.5,-3497.643,1185003.8415986663
PART_000_R31G119B180A255,15505,-10022.94,463254.4,25974.93,473656.5,-357895.3,-8073.07,1125061.9590420083
PART_000_R31G119B180A255,15506,1455.657,429707.1,8480.655,891196.4,-288305.1,-9487.93,1677129.335537923
PART_000_R31G119B180A255,15507,-14249.66,672997.8,16220.73,839252.0,243234.4,4588.562,1656164.442637342
PART_000_R31G119B180A255,15508,-17830.68,741076.5,52829.02,501716.3,335549.9,11750.21,1273052.1956798271
PART_000_R31G119B180A255,15509,-13542.28,777750.2,81723.35,580135.8,162091.4,4767.024,1283899.5409620781
PART_000_R31G119B180A255,15510,-16769.41,787479.4,96009.52,520354.2,-344.8472,146.1164,1175218.6249266511
PART_000_R31G119B180A255,15511,-13096.24,769827.7,87924.66,589375.8,-161144.0,-5415.991,1290025.2334633009
PART_000_R31G119B180A255,15512,-22573.52,722093.1,60320.64,457939.5,-353294.2,-16255.11,1226393.1346857732
PART_000_R31G119B180A255,15513,-4981.778,658567.0,21702.99,867214.4,-281180.8,-10983.25,1707932.8679256048
PART_000_R31G119B180A255,15514,-25730.03,843505.4,27261.84,776265.4,225732.2,19530.64,1635264.287479506
PART_000_R31G119B180A255,15515,-32747.65,959670.9,91096.49,472073.8,301130.7,13445.38,1348506.2757245398
PART_000_R31G119B180A255,15516,-18641.99,1000879.0,159894.9,542917.0,132908.4,4120.7,1351516.8659107739
PART_000_R31G119B180A255,15517,-31483.94,993557.3,187988.0,484844.6,-3713.257,561.051,1256652.240773116
PART_000_R31G119B180A255,15518,-20378.24,991298.8,167826.3,551060.5,-136829.5,-2447.979,1354879.001310842
PART_000_R31G119B180A255,15519,-33337.27,938356.8,101289.6,435510.3,-327820.9,-20099.25,1313056.3048696308
PART_000_R31G119B180A255,15520,-18123.78,823092.1,30163.63,808921.6,-268355.9,-25825.2,1688331.617168808
PART_000_R31G119B180A255,15521,-43983.47,927180.7,57828.88,685341.9,171980.0,3693.605,1533786.7982093634
PART_000_R31G119B180A255,15522,-59484.97,1069715.0,180712.3,405082.7,205414.3,2548.455,1296316.7514174045
PART_000_R31G119B180A255,15523,-38424.18,1069909.0,283032.1,467078.8,85954.67,7935.194,1285417.1505084177
PART_000_R31G119B180A255,15524,-52377.82,1067914.0,318931.7,424521.7,-4126.467,4331.662,1231954.909096449
PART_000_R31G119B180A255,15525,-47222.1,1060497.0,291477.4,474013.9,-93244.73,-6742.934,1291070.3788598606
PART_000_R31G119B180A255,15526,-48782.57,1059660.0,188649.9,378896.8,-235216.8,-5411.197,1272240.4956872803
PART_000_R31G119B180A255,15527,-41946.79,908376.4,59032.19,723645.6,-212000.3,168.1335,1588448.7977464183
PART_000_R31G119B180A255,15528,-300388.6,721766.5,85842.62,325270.0,58983.61,20787.98,1062225.3669724772
PART_001_R158G218B229A255,15529,-194836.6,792449.4,249180.6,166252.7,70300.85,15892.24,912149.7429442878
PART_001_R158G218B229A255,15530,-202992.1,770563.6,370205.8,218877.5,30048.8,4590.69,929957.2814172532
PART_001_R158G218B229A255,15531,-191549.4,784712.9,411788.8,183291.4,-1327.822,8402.79,910545.4656883935
PART_001_R158G218B229A255,15532,-221158.2,765896.3,387508.4,223366.3,-34429.15,3491.075,947224.726897643
PART_001_R158G218B229A255,15533,-166262.8,792465.7,261760.1,153749.5,-85061.59,-11813.21,886029.3398506939
PART_000_R31G119B180A255,15534,-334408.7,713852.4,83213.89,347621.9,-75912.81,-4002.909,1102425.387933249
PART_003_R247G182B210A255,1,0.0005977932,-0.0001505734,-0.0001364536,6.70816e-05,4.332406e-07,0.0001468664,0.000792398103634614
PART_000_R31G119B180A255,2,0.0004868007,-0.0001528458,-3.903142e-05,9.057024e-05,-9.877952e-07,0.0001414215,0.0006587202308766284
